2025-07-22 15:00:34|Client#1|EMIR|AKBNK|SAT|123.45|5
2025-07-22 15:00:59|Client#1|EMIR|SISE|AL|89|4
2025-07-23 08:54:24|Client#1|EMIR|AKBNK|SAT|123.55|6
2025-07-23 09:41:14|Client#1|EMIR|AKBNK|AL|122.05|10
2025-07-23 09:42:03|Client#2|EMIR|THYAO|SAT|235|5
2025-07-23 09:43:08|Client#1|EMIR|THYAO|AL|235|2
2025-07-23 09:46:37|Client#3|EMIR|AKBNK|SAT|122.05|3
2025-07-23 09:47:30|Client#3|EMIR|THYAO|AL|235|2
2025-07-23 10:04:57|Client#1|EMIR|SISE|AL|89|5
2025-07-23 10:14:08|Client#1|EMIR|GARAN|AL|456.25|3
2025-07-23 10:23:56|Client#1|EMIR|GARAN|AL|456.75|4
2025-07-23 10:35:27|Client#1|EMIR|GARAN|SAT|460.25|4
2025-07-23 11:48:09|Client#2|EMIR|SISE|SAT|90|5
2025-07-23 11:50:09|Client#1|EMIR|SISE|AL|90|3
2025-07-23 13:54:52|Client#1|EMIR|SISE|AL|90|2
2025-07-23 14:41:46|Client#1|EMIR|SISE|SAT|90|4
2025-07-23 14:42:53|Client#2|EMIR|SISE|SAT|89|1
2025-07-23 14:52:38|Client#3|EMIR|THYAO|AL|461|2
2025-07-23 15:20:01|Client#4|EMIR|GARAN|AL|461.25|3
2025-07-23 15:27:54|Client#1|EMIR|GARAN|AL|460.25|1
2025-07-23 15:28:23|Client#1|EMIR|THYAO|SAT|234|2
